name,serving_size,calories(kcal),total_fat,saturated_fat,cholesterol,sodium,protein,carbohydrate,fiber,sugars,vegan,vegetarian,gluten_free,keto
"Fish, raw, milkfish",100,148,6.7,1.7,52,0,20.53,0.0,0.0,0.0,No,No,Yes,Yes
"Fish, raw, monkfish",100,76,1.5,0.3,25,0,14.48,0.0,0.0,0.0,No,No,Yes,Yes
"Guavas, raw, common",100,68,1.0,0.3,0,0,2.55,14.32,5.4,8.92,Yes,Yes,Yes,No
"Emu, raw, full rump",100,112,1.6,0.4,85,0,22.83,0.0,0.0,0.0,Yes,Yes,Yes,Yes
"Mustard greens, raw",100,27,0.4,0.0,0,0,2.86,4.67,3.2,1.32,Yes,Yes,Yes,Yes
"Seaweed, raw, laver",100,35,0.3,0.1,0,0,5.81,5.11,0.3,0.49,Yes,Yes,Yes,Yes
"Figs, stewed, dried",100,107,0.4,0.1,0,0,1.42,27.57,4.2,23.35,Yes,Yes,Yes,No
"Game meat, raw, elk",100,111,1.5,0.5,55,0,22.95,0.0,0.0,0.0,No,No,Yes,Yes
"Ostrich, raw, round",100,116,2.4,0.8,71,0,21.99,0.0,0.0,0.0,No,No,Yes,Yes
"Fish, raw, mahimahi",100,85,0.7,0.2,73,0,18.5,0.0,0.0,0.0,No,No,Yes,Yes
"Fish, raw, bluefish",100,124,4.2,0.9,59,0,20.04,0.0,0.0,0.0,No,No,Yes,Yes
"Potatoes, skin, raw",100,58,0.1,0.0,0,0,2.57,12.44,2.5,0.0,Yes,Yes,Yes,No
"Pepper, raw, banana",100,27,0.5,0.0,0,0,1.66,5.35,3.4,1.95,Yes,Yes,Yes,No
"Drumstick pods, raw",100,37,0.2,0.0,0,0,2.1,8.53,3.2,0.0,Yes,Yes,Yes,Yes
"Tomatoes, sun-dried",100,258,3.0,0.4,0,0,14.11,55.76,12.3,37.59,Yes,Yes,Yes,No
"Pumpkin leaves, raw",100,19,0.4,0.2,0,0,3.15,2.33,0.0,0.0,Yes,Yes,Yes,Yes
"Melons, raw, casaba",100,28,0.1,0.0,0,0,1.11,6.58,0.9,5.69,Yes,Yes,Yes,Yes
"Nuts, dried, acorns",100,509,31.0,4.1,0,0,8.1,53.66,0.0,0.0,Yes,Yes,Yes,No
"Fish, raw, tilefish",100,96,2.3,0.4,50,0,17.5,0.0,0.0,0.0,No,No,Yes,Yes
"Cabbage, raw, savoy",100,27,0.1,0.0,0,0,2.0,6.1,3.1,2.27,Yes,Yes,Yes,Yes
"Fish, raw, tilapia",100,96,1.7,0.6,50,0,20.08,0.0,0.0,0.0,No,No,Yes,Yes
"Broccoli raab, raw",100,22,0.5,0.1,0,0,3.17,2.85,2.7,0.38,Yes,Yes,Yes,Yes
"Turtle, raw, green",100,89,0.5,0.1,50,0,19.8,0.0,0.0,0.0,Yes,Yes,Yes,Yes
"Chicory roots, raw",100,72,0.2,0.0,0,0,1.4,17.51,1.5,8.73,Yes,Yes,Yes,No
"Prickly pears, raw",100,41,0.5,0.1,0,0,0.73,9.57,3.6,0.0,Yes,Yes,Yes,Yes
"Fish, raw, haddock",100,74,0.5,0.1,54,0,16.32,0.0,0.0,0.0,No,No,Yes,Yes
"Ground turkey, raw",100,148,7.7,2.0,69,0,19.66,0.0,0.0,0.0,No,No,Yes,Yes
"Carrots, raw, baby",100,35,0.1,0.0,0,0,0.64,8.24,2.9,4.76,Yes,Yes,Yes,Yes
"Acerola juice, raw",100,23,0.3,0.1,0,0,0.4,4.8,0.3,4.5,Yes,Yes,Yes,Yes
"Jute, raw, potherb",100,34,0.3,0.0,0,0,4.65,5.8,0.0,0.0,Yes,Yes,Yes,Yes
"Beef, dried, cured",100,153,1.9,1.0,79,0,31.1,2.76,0.0,2.7,No,No,Yes,Yes
"Seaweed, raw, kelp",100,43,0.6,0.2,0,0,1.68,9.57,1.3,0.6,Yes,Yes,Yes,Yes
"Seaweed, raw, agar",100,26,0.0,0.0,0,0,0.54,6.75,0.5,0.28,Yes,Yes,Yes,Yes
"Onions, raw, sweet",100,32,0.1,0.0,0,0,0.8,7.55,0.9,5.02,Yes,Yes,Yes,Yes
"Onions, raw, welsh",100,34,0.4,0.1,0,0,1.9,6.5,2.4,2.18,Yes,Yes,Yes,Yes
"Sapote, raw, mamey",100,124,0.5,0.2,0,0,1.45,32.1,5.4,20.14,Yes,Yes,Yes,No
"Bamboo shoots, raw",100,27,0.3,0.1,0,0,2.6,5.2,2.2,3.0,Yes,Yes,Yes,Yes
"Fish, raw, lingcod",100,85,1.1,0.2,52,0,17.66,0.0,0.0,0.0,No,No,Yes,Yes
"Whey, dried, sweet",100,353,1.1,0.7,6,0,12.93,74.46,0.0,74.46,Yes,Yes,Yes,No
"Yardlong bean, raw",100,47,0.4,0.1,0,0,2.8,8.35,0.0,0.0,Yes,Yes,Yes,Yes
"Cress, raw, garden",100,32,0.7,0.0,0,0,2.6,5.5,1.1,4.4,Yes,Yes,Yes,Yes
"Lambsquarters, raw",100,43,0.8,0.1,0,0,4.2,7.3,4.0,0.0,No,No,Yes,Yes
"Turnip greens, raw",100,32,0.3,0.1,0,0,1.5,7.13,3.2,0.81,Yes,Yes,Yes,Yes
"Pomegranates, raw",100,83,1.2,0.1,0,0,1.67,18.7,4.0,13.67,Yes,Yes,Yes,No
"Pears, raw, asian",100,42,0.2,0.0,0,0,0.5,10.65,3.6,7.05,Yes,Yes,Yes,No
"Chard, raw, swiss",100,19,0.2,0.0,0,0,1.8,3.74,1.6,1.1,Yes,Yes,Yes,Yes
"Goose, raw, liver",100,133,4.3,1.6,515,0,16.37,6.32,0.0,0.0,Yes,Yes,Yes,Yes
"Peppermint, fresh",100,70,0.9,0.2,0,0,3.75,14.89,8.0,0.0,Yes,Yes,Yes,No
"Oheloberries, raw",100,28,0.2,0.0,0,0,0.38,6.84,0.0,0.0,Yes,Yes,Yes,Yes
"Burdock root, raw",100,72,0.2,0.0,0,0,1.53,17.34,3.3,2.9,Yes,Yes,Yes,No
"Ostrich, raw, fan",100,117,2.7,1.0,73,0,21.81,0.0,0.0,0.0,No,No,Yes,Yes
"Strawberries, raw",100,32,0.3,0.0,0,0,0.67,7.68,2.0,4.89,Yes,Yes,Yes,Yes
"Fish, raw, burbot",100,90,0.8,0.2,60,0,19.31,0.0,0.0,0.0,No,No,Yes,Yes
"Gooseberries, raw",100,44,0.6,0.0,0,0,0.88,10.18,4.3,0.0,Yes,Yes,Yes,No
"Grape leaves, raw",100,93,2.1,0.3,0,0,5.6,17.31,11.0,6.3,Yes,Yes,Yes,No
"Kale, raw, scotch",100,42,0.6,0.1,0,0,2.8,8.32,1.7,0.0,Yes,Yes,Yes,Yes
"Whey, dried, acid",100,339,0.5,0.3,3,0,11.73,73.45,0.0,73.45,Yes,Yes,Yes,No
"Fennel, raw, bulb",100,31,0.2,0.1,0,0,1.24,7.3,3.1,3.93,Yes,Yes,Yes,Yes
"Egg, dried, whole",100,592,44.0,15.0,1630,0,48.05,1.13,0.0,0.56,No,Yes,Yes,Yes
"Egg, dried, white",100,382,0.0,0.0,0,0,81.1,7.8,0.0,5.4,No,Yes,Yes,Yes
"Veal, raw, ground",100,197,13.0,5.1,49,0,18.58,0.0,0.0,0.0,No,No,Yes,Yes
